1222022	-19	RetailRecreation
1232022	-19	RetailRecreation
1242022	-19	RetailRecreation
1252022	-17	RetailRecreation
1262022	-16	RetailRecreation
1272022	-15	RetailRecreation
1282022	-16	RetailRecreation
1292022	-22	RetailRecreation
1302022	-18	RetailRecreation
1312022	-15	RetailRecreation
212022	-10	RetailRecreation
222022	-17	RetailRecreation
232022	-25	RetailRecreation
242022	-23	RetailRecreation
252022	-13	RetailRecreation
262022	-12	RetailRecreation
272022	-14	RetailRecreation
282022	-12	RetailRecreation
292022	-10	RetailRecreation
2102022	-11	RetailRecreation
2112022	-11	RetailRecreation
2122022	-8	RetailRecreation
2132022	-16	RetailRecreation
2142022	-5	RetailRecreation
2152022	-14	RetailRecreation
2162022	-11	RetailRecreation
2172022	-15	RetailRecreation
2182022	-13	RetailRecreation
2192022	-9	RetailRecreation
2202022	-6	RetailRecreation
2212022	-7	RetailRecreation
2222022	-14	RetailRecreation
2232022	-13	RetailRecreation
2242022	-15	RetailRecreation
2252022	-15	RetailRecreation
2262022	-9	RetailRecreation
2272022	-8	RetailRecreation
2282022	-10	RetailRecreation
312022	-7	RetailRecreation
322022	-8	RetailRecreation
332022	-8	RetailRecreation
342022	-10	RetailRecreation
352022	-7	RetailRecreation
362022	-7	RetailRecreation
372022	-14	RetailRecreation
382022	-12	RetailRecreation
392022	-13	RetailRecreation
3102022	-12	RetailRecreation
3112022	-14	RetailRecreation
3122022	-16	RetailRecreation
3132022	-10	RetailRecreation
3142022	-12	RetailRecreation
3152022	-10	RetailRecreation
3162022	-7	RetailRecreation
3172022	-9	RetailRecreation
3182022	-11	RetailRecreation
3192022	-9	RetailRecreation
3202022	-6	RetailRecreation
3212022	-12	RetailRecreation
3222022	-12	RetailRecreation
3232022	-11	RetailRecreation
3242022	-11	RetailRecreation
3252022	-11	RetailRecreation
3262022	-9	RetailRecreation
3272022	-8	RetailRecreation
3282022	-14	RetailRecreation
3292022	-12	RetailRecreation
3302022	-11	RetailRecreation
3312022	-10	RetailRecreation
412022	-8	RetailRecreation
422022	-7	RetailRecreation
432022	-6	RetailRecreation
442022	-11	RetailRecreation
452022	-11	RetailRecreation
462022	-10	RetailRecreation
472022	-10	RetailRecreation
482022	-9	RetailRecreation
492022	-6	RetailRecreation
4102022	-4	RetailRecreation
4112022	-10	RetailRecreation
4122022	-9	RetailRecreation
4132022	-8	RetailRecreation
4142022	-5	RetailRecreation
4152022	-6	RetailRecreation
4162022	-8	RetailRecreation
4172022	-31	RetailRecreation
4182022	-12	RetailRecreation
4192022	-11	RetailRecreation
4202022	-8	RetailRecreation
4212022	-8	RetailRecreation
4222022	-8	RetailRecreation
4232022	-5	RetailRecreation
4242022	-4	RetailRecreation
4252022	-10	RetailRecreation
4262022	-9	RetailRecreation
4272022	-7	RetailRecreation
4282022	-7	RetailRecreation
4292022	-7	RetailRecreation
4302022	-5	RetailRecreation
512022	-3	RetailRecreation
522022	-8	RetailRecreation
532022	-6	RetailRecreation
542022	-6	RetailRecreation
552022	-4	RetailRecreation
562022	-7	RetailRecreation
572022	-2	RetailRecreation
582022	2	RetailRecreation
592022	-8	RetailRecreation
5102022	-5	RetailRecreation
5112022	-6	RetailRecreation
5122022	-6	RetailRecreation
5132022	-8	RetailRecreation
5142022	-6	RetailRecreation
5152022	-4	RetailRecreation
5162022	-9	RetailRecreation
5172022	-7	RetailRecreation
5182022	-6	RetailRecreation
5192022	-6	RetailRecreation
5202022	-8	RetailRecreation
5212022	-8	RetailRecreation
5222022	-5	RetailRecreation
5232022	-8	RetailRecreation
5242022	-7	RetailRecreation
